"id","sensor","time","data","session","sensor_data","sessionsecond","hedeflenen"
"2005898","temp","23/5/2024 12:31:42","24.79","3568","16243","94",
"2005899","pressure","23/5/2024 12:31:42","4.04","3568","248","94",
"2005900","co2","23/5/2024 12:31:42","0","3568","0","94",
"2005901","o","23/5/2024 12:31:43","21.4","3568","7017","95",
"2005902","temp","23/5/2024 12:31:43","24.76","3568","16227","95",
"2005903","pressure","23/5/2024 12:31:43","4.04","3568","248","95",
"2005904","co2","23/5/2024 12:31:43","0","3568","0","95",
"2005905","o","23/5/2024 12:31:44","21.4","3568","7017","96",
"2005906","temp","23/5/2024 12:31:44","24.75","3568","16219","96",
"2005907","pressure","23/5/2024 12:31:44","4.31","3568","264","96",
"2005908","co2","23/5/2024 12:31:44","0","3568","0","96",
"2005909","o","23/5/2024 12:31:45","21.4","3568","7017","97",
"2005910","temp","23/5/2024 12:31:45","24.76","3568","16227","97",
"2005911","pressure","23/5/2024 12:31:45","4.57","3568","280","97",
"2005912","co2","23/5/2024 12:31:45","0","3568","0","97",
"2005913","o","23/5/2024 12:31:46","21.5","3568","7033","98",
"2005914","temp","23/5/2024 12:31:46","24.81","3568","16259","98",
"2005915","pressure","23/5/2024 12:31:46","4.57","3568","280","98",
"2005916","co2","23/5/2024 12:31:46","0","3568","0","98",
"2005917","o","23/5/2024 12:31:47","21.4","3568","7017","99",
"2005918","temp","23/5/2024 12:31:47","24.76","3568","16227","99",
"2005919","pressure","23/5/2024 12:31:47","4.57","3568","280","99",
"2005920","co2","23/5/2024 12:31:47","0","3568","0","99",
"2005921","o","23/5/2024 12:31:48","21.5","3568","7033","100",
"2005922","temp","23/5/2024 12:31:48","24.79","3568","16243","100",
"2005923","pressure","23/5/2024 12:31:48","4.57","3568","280","100",
"2005924","co2","23/5/2024 12:31:48","0","3568","0","100",
"2005925","o","23/5/2024 12:31:49","21.5","3568","7041","101",
"2005926","temp","23/5/2024 12:31:49","24.85","3568","16283","101",
"2005927","pressure","23/5/2024 12:31:49","4.31","3568","264","101",
"2005928","co2","23/5/2024 12:31:49","0","3568","0","101",
"2005929","o","23/5/2024 12:31:50","21.5","3568","7033","102",
"2005930","temp","23/5/2024 12:31:50","24.76","3568","16227","102",
"2005931","pressure","23/5/2024 12:31:50","4.7","3568","288","102",
"2005932","co2","23/5/2024 12:31:50","0","3568","0","102",
"2005933","o","23/5/2024 12:31:51","21.5","3568","7049","103",
"2005934","temp","23/5/2024 12:31:51","24.76","3568","16227","103",
"2005935","pressure","23/5/2024 12:31:51","4.57","3568","280","103",
"2005936","co2","23/5/2024 12:31:51","0","3568","0","103",
"2005937","o","23/5/2024 12:31:52","21.5","3568","7041","104",
"2005938","temp","23/5/2024 12:31:52","24.85","3568","16283","104",
"2005939","pressure","23/5/2024 12:31:52","4.57","3568","280","104",
